DR;COD_ORGAO;REOP;ORGAO;DT_MOVIMENTO;SALDO_ATUAL;LIMITEVLR_LIMITE_ECT
AM;6300294;1;AC NOVO ARIPUANA;11/09/2020;68,31;10
AM;6300286;1;AC NOVA OLINDA DO NORTE;11/09/2020;302,08;10
AM;6300278;2;AC MANICORE;11/09/2020;453,15;10
AM;6300260;1;AC BENJAMIN CONSTANT;11/09/2020;177,95;10
AM;6300251;1;AC MANACAPURU;11/09/2020;2202,91;10
AM;6300243;2;AC CODAJAS;11/09/2020;946,11;10
AM;6300235;1;AC CAREIRO;11/09/2020;72,27;10
AM;6300227;2;AC BORBA;11/09/2020;457,79;10
AM;6300219;1;AC AUTAZES;11/09/2020;2499,3;10
AM;6300197;1;AC URUCURITUBA;11/09/2020;1944,55;10
AM;6300189;1;AC URUCARA;11/09/2020;84,1;10
AM;6300171;1;AC SILVES;11/09/2020;6052,98;10
AM;6300162;1;AC NHAMUNDA;11/09/2020;498,15;10
AM;6300154;1;AC MAUES;11/09/2020;357,18;10
AM;6300138;1;AC BARREIRINHA;11/09/2020;79,86;10
AM;6300090;1;AC SAO GABRIEL DA CACHOEIRA;11/09/2020;878,95;10
AM;6300065;1;AC PRESIDENTE FIGUEIREDO;11/09/2020;897,84;10
AM;6300057;1;AC SALDANHA MARINHO;11/09/2020;5017,4;10
AM;6300049;1;AC SANTA IZABEL DO RIO NEGRO;11/09/2020;196,69;10
AM;6300031;1;AC BARCELOS;11/09/2020;522,2;10
AM;6300022;1;AC NOVO AIRAO;11/09/2020;351,83;10
AM;6301169;1;AC STUDIO 5;10/09/2020;2184,29;10
AM;6301100;1;AC SHOPPING MILENNIUM CENTER;10/09/2020;4264,05;10
AM;6301096;1;AC NOVO REMANSO;10/09/2020;8455,55;10
AM;6301045;1;AC NOEL NUTELLS;10/09/2020;599,97;10
AM;6301037;1;AC SHOPPING SAO JOSE;10/09/2020;215,35;10
AM;6301011;1;AC RODOVIÁRIA DE MANAUS;10/09/2020;2719,32;10
AM;6301002;1;AC PAC/PORTO;10/09/2020;2108,95;10
AM;6300910;1;AC GUAJARA;10/09/2020;2068,43;10
AM;6300901;1;AC APUÍ;10/09/2020;1,79;10
AM;6300898;1;AC CAREIRO DA VARZEA;10/09/2020;6,96;10
AM;6300880;1;AC ITAMARATI;10/09/2020;203,97;10
AM;6300871;1;AC RIO PRETO DA EVA;10/09/2020;3796,22;10
AM;6300855;1;AC MANAQUIRI;10/09/2020;240,45;10
AM;6300847;1;AC CIDADE NOVA;10/09/2020;3314,76;10
AM;6300821;1;AC IRANDUBA;10/09/2020;1650,93;10
AM;6300812;1;AC SAO SEBASTIAO DO UATUMA;10/09/2020;3,59;10
AM;6300758;1;AC ANDRE ARAUJO;10/09/2020;1097,43;10
AM;6300740;1;AC BOA VISTA DO RAMOS;10/09/2020;15,17;10
AM;6300723;1;AC MONSENHOR COUTINHO;10/09/2020;7754,35;10
AM;6300715;1;AC COMPENSA;10/09/2020;4484,37;10
AM;6300693;1;AC CACHOEIRINHA;10/09/2020;4605,43;10
AM;6300677;1;AC IPIXUNA;10/09/2020;335,71;10
AM;6300669;1;AC TABATINGA;10/09/2020;0;10
AM;6300651;1;AC ENVIRA;10/09/2020;431,07;10
AM;6300642;1;AC PAUINI;10/09/2020;236,95;10
AM;6300634;2;AC BOCA DO ACRE;10/09/2020;97,92;10
AM;6300626;1;AC LABREA;10/09/2020;6825,21;10
AM;6300618;1;AC CANUTAMA;10/09/2020;4476,14;10
AM;6300600;1;AC HUMAITA;10/09/2020;2327,61;10
AM;6300596;1;AC EIRUNEPE;10/09/2020;341,48;10
AM;6300588;1;AC ALVARAES;10/09/2020;408,88;10
AM;6300570;1;AC JURUA;10/09/2020;3765,82;10
AM;6300561;1;AC JAPURA;10/09/2020;965,98;10
AM;6300553;1;AC AMATURA;10/09/2020;227,58;10
AM;6300537;1;AC UARINI;10/09/2020;10439,93;10
AM;6300481;1;AC BERURI;10/09/2020;283,51;10
AM;6300464;1;AC CAAPIRANGA;10/09/2020;911,88;10
AM;6300456;1;AC PARINTINS;10/09/2020;28246,62;10
AM;6300421;1;AC TEFE;10/09/2020;2100,46;10
AM;6300413;1;AC SÃO PAULO DE OLIVENÇA;10/09/2020;293,57;10
AM;6300405;1;AC TONANTINS;10/09/2020;272,3;10
AM;6300391;1;AC SANTO ANTONIO DO ICA;10/09/2020;2275,16;10
AM;6300383;1;AC MARAA;10/09/2020;3810,09;10
AM;6300375;1;AC JUTAI;10/09/2020;662,05;10
AM;6300367;1;AC FONTE BOA;10/09/2020;221,98;10
AM;6300359;1;AC COARI;10/09/2020;53,65;10
AM;6300341;1;AC CARAUARI;10/09/2020;430,89;10
AM;6300324;1;AC ITACOATIARA;10/09/2020;460,27;10
AM;6300316;1;AC ATALAIA DO NORTE;10/09/2020;244,75;10
AM;6300308;1;AC TAPAUA;10/09/2020;0;10
AM;6300294;1;AC NOVO ARIPUANA;10/09/2020;166,47;10
AM;6300286;1;AC NOVA OLINDA DO NORTE;10/09/2020;211,03;10
AM;6300278;2;AC MANICORE;10/09/2020;498,79;10
AM;6300260;1;AC BENJAMIN CONSTANT;10/09/2020;623,89;10
AM;6300251;1;AC MANACAPURU;10/09/2020;2055,44;10
AM;6300243;2;AC CODAJAS;10/09/2020;939,11;10
AM;6300235;1;AC CAREIRO;10/09/2020;356,07;10
AM;6300227;2;AC BORBA;10/09/2020;370,62;10
AM;6300219;1;AC AUTAZES;10/09/2020;1902,14;10
AM;6300197;1;AC URUCURITUBA;10/09/2020;4540,45;10
AM;6300189;1;AC URUCARA;10/09/2020;214,05;10
AM;6300171;1;AC SILVES;10/09/2020;6004,81;10
AM;6300162;1;AC NHAMUNDA;10/09/2020;465,15;10
AM;6300154;1;AC MAUES;10/09/2020;262,11;10
AM;6300138;1;AC BARREIRINHA;10/09/2020;119,21;10
AM;6300090;1;AC SAO GABRIEL DA CACHOEIRA;10/09/2020;1784;10
AM;6300065;1;AC PRESIDENTE FIGUEIREDO;10/09/2020;1926,44;10
AM;6300057;1;AC SALDANHA MARINHO;10/09/2020;4900,41;10
AM;6300049;1;AC SANTA IZABEL DO RIO NEGRO;10/09/2020;1090,65;10
AM;6300031;1;AC BARCELOS;10/09/2020;119,05;10
AM;6300022;1;AC NOVO AIRAO;10/09/2020;301,68;10
AM;6300731;1;AC PARQUE DEZ;11/09/2020;1804,22;10
AM;6300529;1;AC ANAMA;11/09/2020;345,54;10
AM;6300201;1;AC ANORI;11/09/2020;21213,2;10
AM;6300731;1;AC PARQUE DEZ;10/09/2020;2501,19;10
AM;6300529;1;AC ANAMA;10/09/2020;1068,56;10
AM;6300201;1;AC ANORI;10/09/2020;19979,17;10
AM;6300600;1;AC HUMAITA;15/09/2020;1933,86;10
AM;6300618;1;AC CANUTAMA;15/09/2020;3342,01;10
AM;6300626;1;AC LABREA;15/09/2020;4583,77;10
AM;6300634;2;AC BOCA DO ACRE;15/09/2020;256,97;10
AM;6300642;1;AC PAUINI;15/09/2020;114,97;10
AM;6300651;1;AC ENVIRA;15/09/2020;257,74;10
AM;6300669;1;AC TABATINGA;15/09/2020;1133,36;10
AM;6300693;1;AC CACHOEIRINHA;15/09/2020;1282,12;10
AM;6300715;1;AC COMPENSA;15/09/2020;2748,98;10
AM;6300723;1;AC MONSENHOR COUTINHO;15/09/2020;19064,25;10
AM;6300731;1;AC PARQUE DEZ;15/09/2020;2306,23;10
AM;6300740;1;AC BOA VISTA DO RAMOS;15/09/2020;8,3;10
AM;6300758;1;AC ANDRE ARAUJO;15/09/2020;1371,83;10
AM;6300812;1;AC SAO SEBASTIAO DO UATUMA;15/09/2020;132,38;10
AM;6300821;1;AC IRANDUBA;15/09/2020;4280,71;10
AM;6300847;1;AC CIDADE NOVA;15/09/2020;3231,09;10
AM;6300855;1;AC MANAQUIRI;15/09/2020;425,15;10
AM;6300871;1;AC RIO PRETO DA EVA;15/09/2020;201,97;10
AM;6300898;1;AC CAREIRO DA VARZEA;15/09/2020;220,67;10
AM;6300901;1;AC APUÍ;15/09/2020;3,85;10
AM;6300910;1;AC GUAJARA;15/09/2020;6675,19;10
AM;6301002;1;AC PAC/PORTO;15/09/2020;3024,42;10
AM;6301011;1;AC RODOVIÁRIA DE MANAUS;15/09/2020;12096,97;10
AM;6301037;1;AC SHOPPING SAO JOSE;15/09/2020;247,31;10
AM;6301045;1;AC NOEL NUTELLS;15/09/2020;902,37;10
AM;6301096;1;AC NOVO REMANSO;15/09/2020;4973,24;10
AM;6301100;1;AC SHOPPING MILENNIUM CENTER;15/09/2020;6140,91;10
AM;6301169;1;AC STUDIO 5;15/09/2020;2667,2;10
AM;6300022;1;AC NOVO AIRAO;16/09/2020;421,11;10
AM;6300031;1;AC BARCELOS;16/09/2020;378,3;10
AM;6300057;1;AC SALDANHA MARINHO;16/09/2020;3886,37;10
AM;6300065;1;AC PRESIDENTE FIGUEIREDO;16/09/2020;1773,87;10
AM;6300090;1;AC SAO GABRIEL DA CACHOEIRA;16/09/2020;1147,03;10
AM;6300138;1;AC BARREIRINHA;16/09/2020;165,83;10
AM;6300154;1;AC MAUES;16/09/2020;474,45;10
AM;6300162;1;AC NHAMUNDA;16/09/2020;505,15;10
AM;6300171;1;AC SILVES;16/09/2020;5998,82;10
AM;6300189;1;AC URUCARA;16/09/2020;36,95;10
AM;6300197;1;AC URUCURITUBA;16/09/2020;2363,78;10
AM;6300201;1;AC ANORI;16/09/2020;33112;10
AM;6300219;1;AC AUTAZES;16/09/2020;2331,43;10
AM;6300227;2;AC BORBA;16/09/2020;892,45;10
AM;6300235;1;AC CAREIRO;16/09/2020;129,13;10
